max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,test_mae,test_r2,trees
3,0.05,0.8,0.8,10,9.482562065124512,9.52588176727295,0.36973387002944946,162
4,0.005,0.6,0.6,1,9.476977348327637,9.518254280090332,0.36960721015930176,989
4,0.005,0.6,0.6,3,9.474385261535645,9.518013954162598,0.3699376583099365,990
4,0.005,0.6,0.6,5,9.470029830932617,9.520872116088867,0.3702411651611328,990
4,0.005,0.6,0.6,10,9.46234130859375,9.517704010009766,0.3704952001571655,950
4,0.005,0.6,0.7,1,9.477876663208008,9.498922348022461,0.37157338857650757,951
4,0.005,0.6,0.7,3,9.471124649047852,9.492923736572266,0.3719056248664856,997
4,0.005,0.6,0.7,5,9.4646635055542,9.48943042755127,0.37266772985458374,994
4,0.005,0.6,0.7,10,9.451807022094727,9.486885070800781,0.37289959192276,952
4,0.005,0.6,0.8,1,9.481581687927246,9.484076499938965,0.37295860052108765,941
4,0.005,0.6,0.8,3,9.48165225982666,9.475998878479004,0.37350326776504517,988
4,0.005,0.6,0.8,5,9.477499008178711,9.47713565826416,0.37303704023361206,983
4,0.005,0.6,0.8,10,9.469389915466309,9.463676452636719,0.3739761710166931,997
4,0.005,0.7,0.6,1,9.480205535888672,9.49346923828125,0.37223511934280396,999
4,0.005,0.7,0.6,3,9.474538803100586,9.496583938598633,0.371898889541626,999
4,0.005,0.7,0.6,5,9.464465141296387,9.499861717224121,0.37177079916000366,999
4,0.005,0.7,0.6,10,9.466794967651367,9.483906745910645,0.3726716637611389,999
4,0.005,0.7,0.7,1,9.476335525512695,9.507698059082031,0.3707966208457947,969
4,0.005,0.7,0.7,3,9.476337432861328,9.516535758972168,0.37006741762161255,969
4,0.005,0.7,0.7,5,9.47217845916748,9.514471054077148,0.3700087070465088,969
4,0.005,0.7,0.7,10,9.475469589233398,9.50539779663086,0.3701856732368469,900
4,0.005,0.7,0.8,1,9.467171669006348,9.49354076385498,0.3710956573486328,999
4,0.005,0.7,0.8,3,9.46724796295166,9.500510215759277,0.37113243341445923,901
4,0.005,0.7,0.8,5,9.466758728027344,9.505796432495117,0.37005549669265747,912
