GAME_ID,HOME_TEAM_ID,HOME_REST_DAYS,HOME_IS_B2B,HOME_GAMES_IN_LAST_7,HOME_WIN_STREAK,HOME_GAME_NUMBER,HOME_CONSECUTIVE_AWAY,HOME_HOME_WIN_PCT,HOME_AWAY_WIN_PCT,HOME_OVERALL_WIN_PCT,AWAY_TEAM_ID,AWAY_REST_DAYS,AWAY_IS_B2B,AWAY_GAMES_IN_LAST_7,AWAY_WIN_STREAK,AWAY_GAME_NUMBER,AWAY_CONSECUTIVE_AWAY,AWAY_HOME_WIN_PCT,AWAY_AWAY_WIN_PCT,AWAY_OVERALL_WIN_PCT,REST_ADVANTAGE,DIFF_WIN_STREAK,DIFF_GAMES_IN_LAST_7,DIFF_GAME_NUMBER,DIFF_OVERALL_WIN_PCT,HOME_ADV,SEASON,POINT_DIFF
21600702,1610612737,2,0,3,1,47,0,0.5909090909090909,0.5833333333333334,0.5869565217391305,1610612764,3,0,3,2,46,1,0.76,0.3,0.5555555555555556,-1,-1,0,1,0.03140096618357491,1.0,2016-17,-26
21600711,1610612737,2,0,3,-1,48,0,0.5652173913043478,0.5833333333333334,0.574468085106383,1610612752,2,0,3,1,49,1,0.5416666666666666,0.3333333333333333,0.4375,0,-2,0,-1,0.13696808510638303,1.0,2016-17,3
21600756,1610612737,2,0,3,1,51,0,0.5833333333333334,0.5769230769230769,0.58,1610612753,1,1,4,1,53,1,0.36,0.4074074074074074,0.38461538461538464,1,0,-1,-2,0.19538461538461532,1.0,2016-17,27
21600772,1610612737,2,0,3,2,52,0,0.6,0.5769230769230769,0.5882352941176471,1610612762,2,0,2,2,52,1,0.6785714285714286,0.5652173913043478,0.6274509803921569,0,0,1,0,-0.039215686274509776,1.0,2016-17,-25
21600785,1610612737,2,0,3,-1,53,0,0.5769230769230769,0.5769230769230769,0.5769230769230769,1610612743,2,0,3,1,52,1,0.5384615384615384,0.36,0.45098039215686275,0,-2,0,1,0.12594268476621412,1.0,2016-17,11
21600863,1610612737,9,0,0,-1,57,0,0.5925925925925926,0.5517241379310345,0.5714285714285714,1610612748,9,0,0,1,58,2,0.48148148148148145,0.4,0.43859649122807015,0,-2,0,-1,0.13283208020050125,1.0,2016-17,-18
21600897,1610612737,2,0,3,1,60,0,0.5714285714285714,0.5483870967741935,0.559322033898305,1610612742,2,0,3,2,60,1,0.5333333333333333,0.27586206896551724,0.4067796610169492,0,-1,0,0,0.15254237288135586,1.0,2016-17,5
21600913,1610612737,2,0,3,2,61,0,0.5862068965517241,0.5483870967741935,0.5666666666666667,1610612739,2,0,3,-1,60,2,0.8125,0.5555555555555556,0.6949152542372882,0,3,0,1,-0.12824858757062152,1.0,2016-17,-5
21600927,1610612737,2,0,3,-1,62,0,0.5666666666666667,0.5483870967741935,0.5573770491803278,1610612754,4,0,2,-1,62,4,0.6774193548387096,0.3333333333333333,0.5081967213114754,-2,0,1,0,0.0491803278688524,1.0,2016-17,-1
21600937,1610612737,1,1,3,-2,63,0,0.5483870967741935,0.5483870967741935,0.5483870967741935,1610612744,1,1,3,1,63,5,0.896551724137931,0.7575757575757576,0.8225806451612904,0,-3,0,0,-0.27419354838709686,1.0,2016-17,-8
21600950,1610612737,2,0,3,-3,64,0,0.53125,0.5483870967741935,0.5396825396825397,1610612751,2,0,3,1,63,7,0.22580645161290322,0.12903225806451613,0.1774193548387097,0,-4,0,1,0.36226318484382997,1.0,2016-17,5
21600969,1610612737,2,0,3,1,65,0,0.5454545454545454,0.5483870967741935,0.546875,1610612761,2,0,2,1,65,4,0.65625,0.53125,0.59375,0,0,1,0,-0.046875,1.0,2016-17,6
21601017,1610612737,3,0,3,-1,68,0,0.5588235294117647,0.5454545454545454,0.5522388059701493,1610612763,1,1,3,2,69,2,0.5882352941176471,0.5294117647058824,0.5588235294117647,2,-3,0,-1,-0.0065847234416154254,1.0,2016-17,-12
21601029,1610612737,2,0,2,-2,69,0,0.5428571428571428,0.5454545454545454,0.5441176470588235,1610612757,3,0,3,1,68,4,0.5483870967741935,0.3611111111111111,0.44776119402985076,-1,-3,-1,1,0.09635645302897272,1.0,2016-17,-16
21601088,1610612737,2,0,3,-6,73,0,0.5277777777777778,0.5,0.5138888888888888,1610612751,2,0,3,-1,73,2,0.2702702702702703,0.14285714285714285,0.20833333333333334,0,-5,0,0,0.30555555555555547,1.0,2016-17,-15
